no,location_node,destination_node,location_lat,location_lon,destination_lat,destination_lon,time
230,42446021,42446021,40.776459,-73.963005,40.776642,-73.962624,2010/2/2 8:01
231,42444897,42437914,40.740822,-74.004875,40.747818,-74.004021,2010/2/2 8:01
232,42435636,596775941,40.749828,-73.994766,40.761768,-73.969933,2010/2/2 8:01
233,42435663,42434948,40.757526,-73.990036,40.748302,-73.982391,2010/2/2 8:01
234,2061592973,42443268,40.771996,-73.990028,40.787811,-73.955513,2010/2/2 8:01
235,42435264,42432693,40.772617,-73.978531,40.755474,-73.979179,2010/2/2 8:01
236,42448726,42436511,40.785355,-73.958115,40.765072,-73.970184,2010/2/2 8:01
237,42430390,42428297,40.765175,-73.976707,40.75819,-73.986137,2010/2/2 8:01
238,42439891,42435312,40.815826,-73.943451,40.786739,-73.968246,2010/2/2 8:01
239,42447136,42430333,40.780033,-73.955101,40.753872,-73.982925,2010/2/2 8:01
240,42434386,42443020,40.792999,-73.940544,40.77137,-73.95652,2010/2/2 8:01
241,599041356,42445039,40.6455,-73.780258,40.768337,-73.984856,2010/2/2 8:01
242,42453952,42428441,40.71265,-74.009796,40.723103,-73.999092,2010/2/2 8:01
243,42424610,595407648,40.720284,-74.008453,40.731449,-73.99028,2010/2/2 8:01
244,42455751,42445924,40.759132,-73.995865,40.756203,-73.977783,2010/2/2 8:01
245,42435642,42445039,40.751717,-73.994064,40.768375,-73.985023,2010/2/2 8:01
246,42435301,42445936,40.778736,-73.97422,40.760952,-73.974136,2010/2/2 8:01
247,42440459,599041290,40.756935,-73.971306,40.648827,-73.782494,2010/2/2 8:01
248,42434085,42445417,40.754269,-73.974442,40.74147,-73.974716,2010/2/2 8:01
249,42427970,42439409,40.761478,-73.957741,40.774166,-73.951523,2010/2/2 8:01
250,42431793,42436056,40.732162,-74.003746,40.720245,-74.010277,2010/2/2 8:01
251,42430269,42432825,40.742249,-73.993462,40.762505,-73.972641,2010/2/2 8:01
252,42453104,42435422,40.732227,-73.990089,40.749344,-73.992104,2010/2/2 8:01
253,42440343,42429577,40.708855,-74.006683,40.715519,-74.013939,2010/2/2 8:01
254,246580758,42445917,40.748447,-74.006104,40.753059,-73.978462,2010/2/2 8:01
255,42430217,42440721,40.731022,-74.001122,40.734364,-73.989571,2010/2/2 8:01
256,42430237,42446488,40.733635,-73.999374,40.752609,-73.981873,2010/2/2 8:01
257,42433620,42437529,40.754543,-73.991508,40.737087,-73.985252,2010/2/2 8:01
258,42442961,42453613,40.759892,-73.964691,40.720356,-73.979294,2010/2/2 8:01
259,42437436,42446986,40.766766,-73.962875,40.755081,-73.974052,2010/2/2 8:01
260,42448726,596775985,40.785229,-73.957947,40.764454,-73.968384,2010/2/2 8:01
261,42440935,42442574,40.770302,-73.987656,40.805267,-73.96228,2010/2/2 8:01
262,42432847,42430320,40.761211,-73.969307,40.752712,-73.985611,2010/2/2 8:01
263,42436710,42450426,40.756947,-73.967308,40.761333,-73.975273,2010/2/2 8:01
264,42439559,42435509,40.771683,-73.96106,40.778339,-73.956779,2010/2/2 8:01
265,42446472,596775951,40.772881,-73.958344,40.761028,-73.971107,2010/2/2 8:01
266,42447166,589928040,40.786053,-73.950806,40.807308,-73.9384,2010/2/2 8:01
267,42435234,42447179,40.798969,-73.936127,40.791489,-73.946571,2010/2/2 8:01
268,42435654,42445649,40.755322,-73.991432,40.751274,-73.981514,2010/2/2 8:01
269,42430274,42436056,40.743805,-73.991165,40.720234,-74.010712,2010/2/2 8:01
270,1733614298,42430344,40.777092,-73.982994,40.756207,-73.982414,2010/2/2 8:01
271,42440009,42440153,40.762844,-73.982567,40.758938,-73.977867,2010/2/2 8:01
272,42443341,42438889,40.779045,-73.977837,40.756329,-73.9729,2010/2/2 8:01
273,1692433916,596775870,40.725521,-73.994949,40.757565,-73.974731,2010/2/2 8:01
274,42436714,42442902,40.755505,-73.965012,40.742004,-73.977821,2010/2/2 8:01
275,1061531707,42443326,40.773937,-73.983284,40.775322,-73.981087,2010/2/2 8:01
276,42429374,42440330,40.736404,-73.997627,40.737305,-73.981712,2010/2/2 8:01
277,1061531790,42428782,40.792809,-73.973396,40.803856,-73.966797,2010/2/2 8:01
278,42446986,42432818,40.754295,-73.973534,40.762718,-73.97332,2010/2/2 8:01
279,596776089,596776103,40.775848,-73.960899,40.781425,-73.956429,2010/2/2 8:01
280,42428007,42436056,40.767117,-73.953568,40.720158,-74.010071,2010/2/2 8:01
281,42434959,2302133933,40.746349,-73.977623,40.740074,-73.983444,2010/2/2 8:01
282,42443612,42445994,40.761135,-73.972404,40.769768,-73.96711,2010/2/2 8:01
283,42439567,42438891,40.768677,-73.955124,40.754425,-73.970444,2010/2/2 8:01
284,276062183,42444353,40.768982,-73.862724,40.702793,-74.014305,2010/2/2 8:01
285,42429378,42435629,40.7384,-74.002892,40.746449,-73.996864,2010/2/2 8:01
286,42442463,42436060,40.782986,-73.977623,40.721214,-74.009972,2010/2/2 8:01
287,370901769,42433834,40.718674,-73.975204,40.702541,-74.011353,2010/2/2 8:01
288,422438821,42433604,40.767944,-73.970734,40.751266,-73.983292,2010/2/2 8:01
289,42430673,42434268,40.761387,-73.999458,40.740601,-73.990173,2010/2/2 8:01
290,42453310,561042196,40.73877,-73.987297,40.750294,-73.979469,2010/2/2 8:01
291,42458766,42430390,40.779594,-73.957642,40.764259,-73.976089,2010/2/2 8:01
292,42437287,42453104,40.735043,-73.983299,40.732174,-73.990288,2010/2/2 8:01
293,596776009,42432847,40.769482,-73.964951,40.760612,-73.96891,2010/2/2 8:01
294,42447308,42431187,40.801338,-73.959869,40.804714,-73.961929,2010/2/2 8:01
295,42428027,42454798,40.773525,-73.949013,40.706539,-74.005714,2010/2/2 8:01
296,42435642,42430983,40.751122,-73.993988,40.774292,-73.988892,2010/2/2 8:01
297,42428588,42445930,40.772701,-73.98214,40.759251,-73.97493,2010/2/2 8:01
298,100522728,42432161,40.754906,-73.974785,40.722195,-73.998825,2010/2/2 8:01
299,42446070,42456578,40.784737,-73.955521,40.783516,-73.954903,2010/2/2 8:01
300,593216431,593216431,40.751778,-73.945587,40.751778,-73.945587,2010/2/2 8:01
301,42435644,42430643,40.751873,-73.99334,40.757034,-74.001259,2010/2/2 8:01
302,42453008,42430356,40.747643,-73.971931,40.759338,-73.981567,2010/2/2 8:01
303,2824895141,42446959,40.705807,-74.008705,40.751083,-73.975418,2010/2/2 8:01
304,42433620,42436511,40.754593,-73.991875,40.7645,-73.970238,2010/2/2 8:01
305,42446466,42432818,40.773567,-73.9599,40.762558,-73.973778,2010/2/2 8:01
306,276061109,42430344,40.769238,-73.863144,40.756638,-73.982353,2010/2/2 8:01
307,42431674,42445928,40.769089,-73.967262,40.757938,-73.975113,2010/2/2 8:01
308,42429682,42430052,40.770325,-73.966743,40.773743,-73.964119,2010/2/2 8:01
309,42430390,42429375,40.764763,-73.976814,40.737694,-74.000496,2010/2/2 8:01
310,42439443,42430597,40.750546,-73.990913,40.750927,-74.005577,2010/2/2 8:01
311,42443614,42445656,40.760258,-73.969765,40.74902,-73.977142,2010/2/2 8:01
312,42432700,42446971,40.758949,-73.988205,40.751949,-73.97596,2010/2/2 8:01
313,42434360,42443804,40.737709,-73.985901,40.752079,-73.978714,2010/2/2 8:01
314,42445920,42454994,40.753902,-73.978676,40.729553,-73.983963,2010/2/2 8:01
315,42446031,596775882,40.778828,-73.960419,40.756382,-73.975006,2010/2/2 8:01
316,42429694,42446472,40.766315,-73.957321,40.772758,-73.958427,2010/2/2 8:01
317,42429700,42442914,40.731415,-74.000969,40.744617,-73.975594,2010/2/2 8:01
318,42430673,42435636,40.761242,-73.999458,40.750393,-73.994995,2010/2/2 8:01
319,42439443,42428471,40.750359,-73.991592,40.730015,-73.992912,2010/2/2 8:01
320,42449926,42446849,40.743427,-73.978737,40.715588,-74.015923,2010/2/2 8:01
